user_id,user_name,recommended_course,course_description,discount,probability,price
3,Пользователь_3,Торговля акциями на фондовом рынке,"Практический курс по торговле акциями. Вы научитесь анализировать компании, читать финансовую отчётность, использовать технический анализ и выстраивать торговые стратегии.",0%,79,48000
3,Пользователь_3,Структурные продукты,"Курс о сложных инвестиционных продуктах. Вы разберётесь в принципах работы структурных нот, защите капитала и сценариях доходности.",0%,80,58000
3,Пользователь_3,Финансовое планирование и личный капитал,"Курс о комплексном управлении личными финансами. Вы научитесь ставить финансовые цели, планировать инвестиции и выстраивать стратегию накоплений.",10%,88,33000
3,Пользователь_3,Криптовалюты: что это и как инвестировать,"Курс для понимания криптовалютного рынка. Вы разберётесь, что такое блокчейн, биткоин и альткоины, как оценивать проекты и управлять высокой волатильностью.",0%,98,39000
3,Пользователь_3,Инвестиции в IPO,"Курс о работе с первичными размещениями акций. Вы разберётесь, как отбирать IPO, оценивать перспективы компаний и риски участия.",15%,81,50000
3,Пользователь_3,Управление инвестиционным портфелем,"Курс о системном подходе к инвестициям. Вы научитесь распределять активы, оценивать риск-профиль и регулярно ребалансировать портфель.",5%,97,46000
3,Пользователь_3,Облигации: надёжный доход,"Курс посвящён инвестициям в облигации. Вы разберётесь в видах облигаций, доходности, дюрации, кредитных рисках и научитесь подбирать облигации под свои цели.",10%,78,30000
3,Пользователь_3,Трейдинг криптовалютами,"Практический курс по активной торговле криптовалютами. Вы изучите стратегии входа и выхода, работу с ордерами, управление рисками и психологию трейдинга.",20%,80,55000
3,Пользователь_3,DeFi и децентрализованные финансы,"Курс о продуктах децентрализованных финансов. Вы узнаете, как работают DeFi-протоколы, стейкинг, фарминг доходности и связанные с ними риски.",15%,86,47000
3,Пользователь_3,Риск-менеджмент в инвестициях,"Курс по управлению инвестиционными рисками. Вы научитесь ограничивать потери, использовать стоп-лоссы и оценивать риск на уровне портфеля.",20%,73,41000
3,Пользователь_3,Инвестиции с нуля: как работает рынок,"Вводный курс для начинающих инвесторов. Вы разберётесь, как устроены финансовые рынки, чем отличаются акции, облигации и фонды, и как формируется доходность и риск инвестиций.",5%,76,25000
3,Пользователь_3,Инвестиции в сырьевые рынки,"Курс по инвестициям в нефть, золото и другие сырьевые активы. Вы узнаете, какие факторы влияют на цены и как использовать сырьё для диверсификации портфеля.",0%,88,44000
3,Пользователь_3,Фьючерсы и опционы,"Курс по производным финансовым инструментам. Вы разберётесь в механике фьючерсов и опционов, хеджировании, спекулятивных стратегиях и управлении маржой.",20%,95,62000
3,Пользователь_3,Недвижимость как инвестиционный продукт,"Курс об инвестициях в недвижимость. Вы изучите модели доходности, аренду, перепродажу и риски вложений в разные типы объектов.",10%,80,52000
3,Пользователь_3,Инвестиции через доверительное управление,"Курс о передаче средств в управление профессионалам. Вы узнаете, как выбирать управляющие компании, оценивать их результаты и комиссии.",5%,84,36000
4,Пользователь_4,Торговля акциями на фондовом рынке,"Практический курс по торговле акциями. Вы научитесь анализировать компании, читать финансовую отчётность, использовать технический анализ и выстраивать торговые стратегии.",20%,82,48000
4,Пользователь_4,Алготрейдинг для частных инвесторов,"Курс по использованию алгоритмических стратегий в торговле. Вы познакомитесь с принципами алготрейдинга, тестированием стратегий и автоматизацией сделок.",25%,79,70000
4,Пользователь_4,Криптовалюты: что это и как инвестировать,"Курс для понимания криптовалютного рынка. Вы разберётесь, что такое блокчейн, биткоин и альткоины, как оценивать проекты и управлять высокой волатильностью.",10%,81,39000
4,Пользователь_4,Инвестиции через доверительное управление,"Курс о передаче средств в управление профессионалам. Вы узнаете, как выбирать управляющие компании, оценивать их результаты и комиссии.",20%,72,36000
4,Пользователь_4,Автоследование и копирование сделок,"Курс о продукте автоследования и копировании стратегий. Вы узнаете, как выбирать трейдеров, оценивать статистику стратегий и контролировать риски при автоторговле.",25%,73,35000
4,Пользователь_4,Долгосрочные инвестиции и дивидендные стратегии,"Курс о формировании долгосрочного инвестиционного портфеля. Вы узнаете, как выбирать дивидендные компании, оценивать устойчивость бизнеса и управлять рисками на горизонте лет.",25%,81,42000
4,Пользователь_4,Инвестиции с нуля: как работает рынок,"Вводный курс для начинающих инвесторов. Вы разберётесь, как устроены финансовые рынки, чем отличаются акции, облигации и фонды, и как формируется доходность и риск инвестиций.",15%,90,25000
4,Пользователь_4,Управление инвестиционным портфелем,"Курс о системном подходе к инвестициям. Вы научитесь распределять активы, оценивать риск-профиль и регулярно ребалансировать портфель.",15%,81,46000
4,Пользователь_4,DeFi и децентрализованные финансы,"Курс о продуктах децентрализованных финансов. Вы узнаете, как работают DeFi-протоколы, стейкинг, фарминг доходности и связанные с ними риски.",5%,70,47000
4,Пользователь_4,Облигации: надёжный доход,"Курс посвящён инвестициям в облигации. Вы разберётесь в видах облигаций, доходности, дюрации, кредитных рисках и научитесь подбирать облигации под свои цели.",20%,83,30000
4,Пользователь_4,Риск-менеджмент в инвестициях,"Курс по управлению инвестиционными рисками. Вы научитесь ограничивать потери, использовать стоп-лоссы и оценивать риск на уровне портфеля.",0%,85,41000
4,Пользователь_4,Трейдинг криптовалютами,"Практический курс по активной торговле криптовалютами. Вы изучите стратегии входа и выхода, работу с ордерами, управление рисками и психологию трейдинга.",15%,81,55000
4,Пользователь_4,Инвестиции в IPO,"Курс о работе с первичными размещениями акций. Вы разберётесь, как отбирать IPO, оценивать перспективы компаний и риски участия.",10%,71,50000
4,Пользователь_4,Недвижимость как инвестиционный продукт,"Курс об инвестициях в недвижимость. Вы изучите модели доходности, аренду, перепродажу и риски вложений в разные типы объектов.",20%,96,52000
4,Пользователь_4,ETF и индексные фонды,"Курс о пассивных инвестициях через ETF и индексные фонды. Вы узнаете, как работают фонды, чем они отличаются друг от друга и как использовать их для диверсификации.",0%,86,28000
4,Пользователь_4,Финансовое планирование и личный капитал,"Курс о комплексном управлении личными финансами. Вы научитесь ставить финансовые цели, планировать инвестиции и выстраивать стратегию накоплений.",15%,85,33000
4,Пользователь_4,Структурные продукты,"Курс о сложных инвестиционных продуктах. Вы разберётесь в принципах работы структурных нот, защите капитала и сценариях доходности.",10%,80,58000
4,Пользователь_4,Фьючерсы и опционы,"Курс по производным финансовым инструментам. Вы разберётесь в механике фьючерсов и опционов, хеджировании, спекулятивных стратегиях и управлении маржой.",15%,94,62000
4,Пользователь_4,Психология инвестирования,"Курс о поведенческих ошибках инвесторов. Вы узнаете, как эмоции влияют на решения, научитесь избегать паники и следовать своей стратегии.",20%,90,27000
4,Пользователь_4,Инвестиции в сырьевые рынки,"Курс по инвестициям в нефть, золото и другие сырьевые активы. Вы узнаете, какие факторы влияют на цены и как использовать сырьё для диверсификации портфеля.",25%,76,44000
5,Пользователь_5,Инвестиции через доверительное управление,"Курс о передаче средств в управление профессионалам. Вы узнаете, как выбирать управляющие компании, оценивать их результаты и комиссии.",0%,80,36000
5,Пользователь_5,Облигации: надёжный доход,"Курс посвящён инвестициям в облигации. Вы разберётесь в видах облигаций, доходности, дюрации, кредитных рисках и научитесь подбирать облигации под свои цели.",20%,89,30000
5,Пользователь_5,Структурные продукты,"Курс о сложных инвестиционных продуктах. Вы разберётесь в принципах работы структурных нот, защите капитала и сценариях доходности.",25%,87,58000
5,Пользователь_5,Криптовалюты: что это и как инвестировать,"Курс для понимания криптовалютного рынка. Вы разберётесь, что такое блокчейн, биткоин и альткоины, как оценивать проекты и управлять высокой волатильностью.",15%,72,39000
5,Пользователь_5,Недвижимость как инвестиционный продукт,"Курс об инвестициях в недвижимость. Вы изучите модели доходности, аренду, перепродажу и риски вложений в разные типы объектов.",15%,83,52000
5,Пользователь_5,Автоследование и копирование сделок,"Курс о продукте автоследования и копировании стратегий. Вы узнаете, как выбирать трейдеров, оценивать статистику стратегий и контролировать риски при автоторговле.",10%,74,35000
5,Пользователь_5,ETF и индексные фонды,"Курс о пассивных инвестициях через ETF и индексные фонды. Вы узнаете, как работают фонды, чем они отличаются друг от друга и как использовать их для диверсификации.",20%,95,28000
5,Пользователь_5,Психология инвестирования,"Курс о поведенческих ошибках инвесторов. Вы узнаете, как эмоции влияют на решения, научитесь избегать паники и следовать своей стратегии.",25%,97,27000
5,Пользователь_5,Инвестиции в сырьевые рынки,"Курс по инвестициям в нефть, золото и другие сырьевые активы. Вы узнаете, какие факторы влияют на цены и как использовать сырьё для диверсификации портфеля.",25%,95,44000
5,Пользователь_5,Торговля акциями на фондовом рынке,"Практический курс по торговле акциями. Вы научитесь анализировать компании, читать финансовую отчётность, использовать технический анализ и выстраивать торговые стратегии.",0%,84,48000
5,Пользователь_5,Инвестиции с нуля: как работает рынок,"Вводный курс для начинающих инвесторов. Вы разберётесь, как устроены финансовые рынки, чем отличаются акции, облигации и фонды, и как формируется доходность и риск инвестиций.",5%,84,25000
5,Пользователь_5,Управление инвестиционным портфелем,"Курс о системном подходе к инвестициям. Вы научитесь распределять активы, оценивать риск-профиль и регулярно ребалансировать портфель.",20%,98,46000
5,Пользователь_5,Инвестиции в IPO,"Курс о работе с первичными размещениями акций. Вы разберётесь, как отбирать IPO, оценивать перспективы компаний и риски участия.",15%,71,50000
5,Пользователь_5,Фьючерсы и опционы,"Курс по производным финансовым инструментам. Вы разберётесь в механике фьючерсов и опционов, хеджировании, спекулятивных стратегиях и управлении маржой.",0%,70,62000
5,Пользователь_5,Алготрейдинг для частных инвесторов,"Курс по использованию алгоритмических стратегий в торговле. Вы познакомитесь с принципами алготрейдинга, тестированием стратегий и автоматизацией сделок.",25%,98,70000
5,Пользователь_5,Трейдинг криптовалютами,"Практический курс по активной торговле криптовалютами. Вы изучите стратегии входа и выхода, работу с ордерами, управление рисками и психологию трейдинга.",20%,92,55000
5,Пользователь_5,Долгосрочные инвестиции и дивидендные стратегии,"Курс о формировании долгосрочного инвестиционного портфеля. Вы узнаете, как выбирать дивидендные компании, оценивать устойчивость бизнеса и управлять рисками на горизонте лет.",10%,83,42000
5,Пользователь_5,DeFi и децентрализованные финансы,"Курс о продуктах децентрализованных финансов. Вы узнаете, как работают DeFi-протоколы, стейкинг, фарминг доходности и связанные с ними риски.",25%,92,47000
5,Пользователь_5,Финансовое планирование и личный капитал,"Курс о комплексном управлении личными финансами. Вы научитесь ставить финансовые цели, планировать инвестиции и выстраивать стратегию накоплений.",25%,73,33000
5,Пользователь_5,Риск-менеджмент в инвестициях,"Курс по управлению инвестиционными рисками. Вы научитесь ограничивать потери, использовать стоп-лоссы и оценивать риск на уровне портфеля.",0%,97,41000
6,Пользователь_6,Недвижимость как инвестиционный продукт,"Курс об инвестициях в недвижимость. Вы изучите модели доходности, аренду, перепродажу и риски вложений в разные типы объектов.",5%,91,52000
6,Пользователь_6,Инвестиции через доверительное управление,"Курс о передаче средств в управление профессионалам. Вы узнаете, как выбирать управляющие компании, оценивать их результаты и комиссии.",5%,98,36000
6,Пользователь_6,Инвестиции с нуля: как работает рынок,"Вводный курс для начинающих инвесторов. Вы разберётесь, как устроены финансовые рынки, чем отличаются акции, облигации и фонды, и как формируется доходность и риск инвестиций.",20%,70,25000
6,Пользователь_6,Риск-менеджмент в инвестициях,"Курс по управлению инвестиционными рисками. Вы научитесь ограничивать потери, использовать стоп-лоссы и оценивать риск на уровне портфеля.",0%,91,41000
6,Пользователь_6,Торговля акциями на фондовом рынке,"Практический курс по торговле акциями. Вы научитесь анализировать компании, читать финансовую отчётность, использовать технический анализ и выстраивать торговые стратегии.",20%,70,48000
6,Пользователь_6,Трейдинг криптовалютами,"Практический курс по активной торговле криптовалютами. Вы изучите стратегии входа и выхода, работу с ордерами, управление рисками и психологию трейдинга.",15%,74,55000
6,Пользователь_6,Управление инвестиционным портфелем,"Курс о системном подходе к инвестициям. Вы научитесь распределять активы, оценивать риск-профиль и регулярно ребалансировать портфель.",5%,85,46000
6,Пользователь_6,Инвестиции в IPO,"Курс о работе с первичными размещениями акций. Вы разберётесь, как отбирать IPO, оценивать перспективы компаний и риски участия.",10%,78,50000
6,Пользователь_6,Криптовалюты: что это и как инвестировать,"Курс для понимания криптовалютного рынка. Вы разберётесь, что такое блокчейн, биткоин и альткоины, как оценивать проекты и управлять высокой волатильностью.",5%,88,39000
6,Пользователь_6,DeFi и децентрализованные финансы,"Курс о продуктах децентрализованных финансов. Вы узнаете, как работают DeFi-протоколы, стейкинг, фарминг доходности и связанные с ними риски.",20%,70,47000
6,Пользователь_6,Психология инвестирования,"Курс о поведенческих ошибках инвесторов. Вы узнаете, как эмоции влияют на решения, научитесь избегать паники и следовать своей стратегии.",20%,87,27000
6,Пользователь_6,Автоследование и копирование сделок,"Курс о продукте автоследования и копировании стратегий. Вы узнаете, как выбирать трейдеров, оценивать статистику стратегий и контролировать риски при автоторговле.",15%,73,35000
6,Пользователь_6,Структурные продукты,"Курс о сложных инвестиционных продуктах. Вы разберётесь в принципах работы структурных нот, защите капитала и сценариях доходности.",5%,90,58000
6,Пользователь_6,ETF и индексные фонды,"Курс о пассивных инвестициях через ETF и индексные фонды. Вы узнаете, как работают фонды, чем они отличаются друг от друга и как использовать их для диверсификации.",25%,79,28000
6,Пользователь_6,Финансовое планирование и личный капитал,"Курс о комплексном управлении личными финансами. Вы научитесь ставить финансовые цели, планировать инвестиции и выстраивать стратегию накоплений.",5%,81,33000
6,Пользователь_6,Фьючерсы и опционы,"Курс по производным финансовым инструментам. Вы разберётесь в механике фьючерсов и опционов, хеджировании, спекулятивных стратегиях и управлении маржой.",20%,85,62000
6,Пользователь_6,Инвестиции в сырьевые рынки,"Курс по инвестициям в нефть, золото и другие сырьевые активы. Вы узнаете, какие факторы влияют на цены и как использовать сырьё для диверсификации портфеля.",25%,88,44000
6,Пользователь_6,Долгосрочные инвестиции и дивидендные стратегии,"Курс о формировании долгосрочного инвестиционного портфеля. Вы узнаете, как выбирать дивидендные компании, оценивать устойчивость бизнеса и управлять рисками на горизонте лет.",0%,73,42000
6,Пользователь_6,Облигации: надёжный доход,"Курс посвящён инвестициям в облигации. Вы разберётесь в видах облигаций, доходности, дюрации, кредитных рисках и научитесь подбирать облигации под свои цели.",0%,88,30000
